file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,11.484401226043701,0.034181632306336356,0.5449746993065359,0.037396758315544856,0.5512042453186025,0.12320891014453124,0.5485536183890133,0.06287894930554204,0.03158082189149433,0.8166622686639189
054_GHL_id_23_Sensor_tr_50000_1st_135001.csv,9.878897666931152,0.02263262545174723,0.6099780134561892,0.024463829580878314,0.6168911238316985,0.08028829559931876,0.5813992319251962,0.036655639215840224,0.0165747299482574,0.7244501030403393
055_GHL_id_24_Sensor_tr_50000_1st_118124.csv,10.816301822662354,0.005328819681687565,0.5398653614614086,0.005733500636688044,0.5436981070256662,0.01986670099880687,0.010039351471824646,0.010039351471824633,0.006375846347790096,0.6715588122601073
056_GHL_id_25_Sensor_tr_50000_1st_105568.csv,10.411915063858032,0.013406881858534662,0.43294010331003113,0.014800090432798287,0.44090960715997274,0.050596349814213466,0.6494768310911808,0.030953412357736354,0.021461591427497238,0.7767686149097723
057_SMD_id_1_Facility_tr_4529_1st_4629.csv,1.6644601821899414,0.38987738690424023,0.9123028112623903,0.332709525339089,0.9083677329266823,0.41786987414167925,0.8571428571428571,0.6903870162297122,0.35975550504361353,0.8468672391887437
058_SMD_id_2_Facility_tr_1087_1st_1187.csv,0.7274653911590576,0.28424468004890513,0.9107798210627938,0.2993718799222214,0.9362534598920764,0.35799448628360103,0.6535375638220277,0.54054054054054,0.49818429736256253,0.8289615905942498
059_SMD_id_3_Facility_tr_757_1st_857.csv,0.6182122230529785,0.38917887154153663,0.8911133051216035,0.15916460319337164,0.7946914536878682,0.3990563785285738,0.9409448818897638,0.5714285714285711,0.28180977740687396,0.6754067076781395
060_SMD_id_4_Facility_tr_7176_1st_10609.csv,2.082850694656372,0.17429502031747493,0.6862710187948863,0.06232845918288964,0.7359914842500304,0.2312352154695821,0.8348993288590603,0.33333333333333304,0.12605447095685707,0.6844694892579564
061_SMD_id_5_Facility_tr_7176_1st_15144.csv,2.1575565338134766,0.4658602201624939,0.8728932302985069,0.3960647778954781,0.8900704577700408,0.4715944051871066,0.8756326825741143,0.672443674176776,0.3540630592220014,0.8188494539416863
063_SMD_id_7_Facility_tr_5923_1st_6506.csv,1.8186933994293213,0.32149316742695766,0.848311905098,0.28530910841469037,0.8532082019713222,0.3805478056142683,0.9192085737840066,0.6329602470088764,0.2708124399480523,0.839480454463199
